opening_id,department,job_title,post_date,close_date,filled,source,days_to_fill
OPEN0077,Engineering,Manager Software Engineer,2018-01-04,2018-01-10,True,Company Website,6.0
OPEN0078,Marketing,Assistant Director,2019-11-30,2019-12-10,True,Indeed,10.0
OPEN0079,Sales,Senior SDR,2023-04-04,2023-04-08,True,LinkedIn,4.0
OPEN0080,Engineering,QA Engineer,2018-07-17,,False,Indeed,
OPEN0081,Engineering,Junior DevOps,2023-04-23,2023-04-28,True,Indeed,5.0
OPEN0082,Operations,Associate Specialist,2019-01-28,,False,Referral,
OPEN0083,Sales,Account Manager,2020-03-07,2020-03-28,True,Referral,21.0
OPEN0084,Marketing,Senior Specialist,2019-05-11,,False,Indeed,
OPEN0085,Sales,Enterprise Account Manager,2022-07-17,,False,Company Website,
OPEN0086,Sales,Associate Account Executive,2018-11-28,2018-12-07,True,LinkedIn,9.0
OPEN0087,Engineering,Junior Software Engineer,2023-06-07,2023-06-19,True,LinkedIn,12.0
OPEN0088,Engineering,Lead QA Engineer,2023-09-06,,False,Indeed,
OPEN0089,Engineering,Junior QA Engineer,2023-07-20,2023-07-26,True,LinkedIn,6.0
OPEN0090,Finance,Staff Analyst,2022-12-19,,False,Indeed,
OPEN0091,HR,Generalist,2023-08-18,2023-08-25,True,Company Website,7.0
OPEN0092,Engineering,Junior QA Engineer,2018-06-22,2018-06-25,True,LinkedIn,3.0
OPEN0093,Finance,Senior Analyst,2018-06-17,2018-06-18,True,Indeed,1.0
OPEN0094,Engineering,Junior Data Engineer,2023-11-12,2023-11-21,True,LinkedIn,9.0
OPEN0095,Operations,Associate Analyst,2020-05-01,,False,Referral,
OPEN0096,Finance,Controller,2020-06-07,,False,LinkedIn,
OPEN0097,Marketing,Senior Specialist,2019-10-13,2019-10-22,True,LinkedIn,9.0
OPEN0098,Operations,Specialist,2022-02-27,2022-03-02,True,LinkedIn,3.0
OPEN0099,HR,Manager Business Partner,2019-03-13,2019-03-16,True,Referral,3.0
OPEN0100,Engineering,Junior QA Engineer,2023-10-17,,False,LinkedIn,
